channel_title,category_id,tags,decision,likes,dislikes,comment_count,comments_disabled,ratings_disabled,video_error_or_removed
Roxette Arisa,26,1,0.0,1.0,1.0,1.0,False,False,False
HarryStylesVEVO,10,1,0.0,3.0,1.0,3.0,False,False,False
Watch What Happens Live with Andy Cohen,24,1,0.0,0.0,0.0,0.0,False,False,False
Nerdwriter1,24,1,0.0,2.0,1.0,1.0,False,False,False
Chris Stuckmann,24,1,0.0,2.0,2.0,2.0,False,False,False
VH1,24,1,1.0,3.0,2.0,3.0,False,False,False
TED-Ed,27,1,0.0,2.0,1.0,0.0,False,False,False
The CW Television Network,24,1,0.0,0.0,0.0,0.0,False,False,False
HBO,1,1,1.0,2.0,2.0,2.0,False,False,False
The Graham Norton Show,24,1,1.0,1.0,1.0,1.0,False,False,False
Charlie Puth,10,1,1.0,3.0,2.0,3.0,False,False,False
Mr. Kate,26,1,1.0,2.0,1.0,2.0,False,False,False
Jaclyn Hill,26,1,1.0,3.0,3.0,3.0,False,False,False
NCAA March Madness,17,1,0.0,0.0,1.0,0.0,False,False,False
taalk com,26,1,0.0,0.0,0.0,0.0,False,False,False
Madelaine Petsch,22,1,0.0,2.0,1.0,2.0,False,False,False
Gerry Litwin,22,1,1.0,3.0,3.0,2.0,False,False,False
Feast Of Fiction,26,1,1.0,1.0,2.0,2.0,False,False,False
Mike Boyd,24,1,0.0,1.0,0.0,2.0,False,False,False
Clash Royale,20,1,1.0,3.0,3.0,3.0,False,False,False
Laura in the Kitchen,26,1,0.0,0.0,0.0,0.0,False,False,False
The School of Life,27,1,0.0,1.0,1.0,0.0,False,False,False
PBS Space Time,27,1,0.0,1.0,1.0,1.0,False,False,False
U2VEVO,10,1,0.0,1.0,1.0,1.0,False,False,False
Screen Junkies,1,1,1.0,3.0,3.0,3.0,False,False,False
Jimmy Kimmel Live,24,1,1.0,2.0,3.0,2.0,False,False,False
Gemma Stafford,26,1,0.0,0.0,0.0,1.0,False,False,False
Late Night with Seth Meyers,23,1,0.0,0.0,1.0,0.0,False,False,False
SamSmithWorldVEVO,10,1,1.0,3.0,2.0,2.0,False,False,False
Mr. Kate,26,1,1.0,3.0,2.0,3.0,False,False,False
Unbox Therapy,28,1,1.0,3.0,3.0,3.0,False,False,False
EllieGouldingVEVO,10,1,0.0,1.0,1.0,1.0,False,False,False
CollegeHumor,23,1,1.0,2.0,3.0,2.0,False,False,False
KathleenLights,26,1,0.0,2.0,1.0,1.0,False,False,False
RawBeautyKristi,26,1,0.0,1.0,1.0,2.0,False,False,False
Rooster Teeth,1,1,1.0,2.0,3.0,3.0,False,False,False
FlorenceMachineVEVO,10,1,1.0,3.0,2.0,2.0,False,False,False
TaylorSwiftVEVO,10,1,1.0,3.0,3.0,3.0,False,False,False
Niki and Gabi,26,1,1.0,3.0,2.0,3.0,False,False,False
HBO,1,1,0.0,0.0,0.0,0.0,False,False,False
Cole and Marmalade,15,1,0.0,1.0,0.0,1.0,False,False,False
Wintergatan,10,1,0.0,1.0,0.0,1.0,False,False,False
Bachelor Nation on ABC,24,1,0.0,0.0,1.0,0.0,False,False,False
ONE Media,1,1,1.0,1.0,3.0,2.0,False,False,False
ColdFusion,2,1,0.0,2.0,1.0,1.0,False,False,False
You Suck At Cooking,26,1,0.0,2.0,1.0,2.0,False,False,False
How to DAD,22,1,0.0,0.0,0.0,0.0,False,False,False
